구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2010년09월25일,1902.03,1699.16,1498.37,1068.43
2010년09월26일,1901.61,1699.10,1498.23,1068.37
2010년09월27일,1901.64,1698.74,1498.01,1068.17
2010년09월28일,1900.32,1697.65,1497.19,1068.49
2010년09월29일,1899.64,1696.90,1496.62,1068.27
2010년09월30일,1898.44,1696.36,1496.20,1068.13
2010년10월01일,1897.94,1695.32,1495.34,1068.15
2010년10월02일,1897.83,1694.86,1494.87,1068.24
2010년10월03일,1897.72,1694.67,1494.68,1067.67
2010년10월04일,1897.13,1694.38,1494.51,1067.74
2010년10월05일,1897.60,1694.44,1494.59,1067.41
2010년10월06일,1897.40,1694.08,1494.26,1067.37
